   1 	    97.4130 
   2 	    99.9449 
   3 	   102.7588 
   4 	   105.5236 
   5 	   108.1018 
   6 	   110.9935 
   7 	   113.5510 
   8 	   116.3762 
   9 	   119.0836 
  10 	   121.8171 
  11 	   124.5639 
  12 	   127.3270 
  13 	   129.9919 
  14 	   132.8162 
  15 	   135.5670 
  16 	   138.2297 
  17 	   140.9800 
  18 	   143.7918 
  19 	   146.5017 
  20 	   149.1168 
  21 	   151.9631 
  22 	   154.6742 
  23 	   157.3971 
  24 	   160.2380 
  25 	   162.9723 
  26 	   165.6835 
  27 	   168.4006 
  28 	   171.0533 
  29 	   173.7662 
  30 	   176.5924 
  31 	   179.3696 
