   1 	     6.8911 
   2 	    11.7908 
   3 	    16.8787 
   4 	    21.9103 
   5 	    26.7203 
   6 	    31.9618 
   7 	    37.2616 
   8 	    42.0201 
   9 	    47.1450 
  10 	    52.0275 
  11 	    57.1594 
  12 	    62.1288 
  13 	    66.9609 
  14 	    72.2518 
  15 	    77.1244 
  16 	    81.9900 
  17 	    87.1515 
  18 	    92.2302 
  19 	    97.0416 
  20 	   102.0157 
  21 	   107.1303 
  22 	   112.0509 
  23 	   117.2142 
  24 	   122.0594 
  25 	   127.2762 
  26 	   136.5228 
  27 	   153.7093 
  28 	   218.9457 
